Sample_ID,Type,Location_made,Grouping,Class,Acquisition_date,Ferment_days,Extract_date,Location_Type_made,Country_made,Location_obtained,Location_Type_obtained,City_obtained,Country_obtained,Milk_Type,Milk_location,Pasteurized,Brand,Glycerol_percent,Date_glycerol,Glycerol_Status,Raw_Sample_Status,Kit_Lot_No,ATL_Lot_No,Kit_num,Conc_ng_ul,260_280,260_230,Ship_date,Ship_type,Arrived_frozen,DNA_Status,Arrival_date,Lat-Long
LNM1,Fresh_Cheese,Fontrieu,,Dairy,"December 5, 2021",,"December 6, 2021",Farm,France,St_Aubin,Farmers_Market,Toulouse,France,Sheep,Fontrieu,No,Local,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,112,1.87,1.22,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","43.66547031455824, 2.45386246303461"
LNM2,Roquefort_Carles,Aveyron,,Dairy,"December 5, 2021",,"December 6, 2021",Farm,France,St_Aubin,Farmers_Market,Toulouse,France,Sheep,Aveyron,No,Local,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,35,1.78,0.06,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","44.292650976542205, 2.51639218754828"
LNM3,Saint_Felicien,Dauphine,,Dairy,"December 5, 2021",,"December 6, 2021",Farm,France,St_Aubin,Farmers_Market,Toulouse,France,Cow,Dauphine,No,Local,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,25.4,1.71,0.18,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","45.48304781253344, 5.174886964350282"
LNM4,Buchette,Tarn,,Dairy,"December 5, 2021",,"December 6, 2021",Farm,France,St_Aubin,Farmers_Market,Toulouse,France,Goat,Tarn,No,Local,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,52.2,1.83,0.62,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","43.84129813071417, 2.1575430725683145"
LNM5,Rocamadour,Lot,,Dairy,"December 5, 2021",,"December 6, 2021",Farm,France,St_Aubin,Farmers_Market,Toulouse,France,Goat,Lot,No,Local,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,73.4,1.89,0.7,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","44.822546764540235, 1.6320714859475425"
LNM6,Faisselle,Payrac,,Dairy,"December 5, 2021",,"December 6, 2021",Farm,France,St_Aubin,Farmers_Market,Toulouse,France,Cow,Payra,Yes,Local,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,5.7,1.34,0.32,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","44.788491248084874, 1.4620661367100003"
LNM7,Fresh_Cheese,Unknown,,Dairy,"December 5, 2021",,"December 6, 2021",Farm,France,St_Aubin,Farmers_Market,Toulouse,France,Goat,Unknown,No,Local,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,45.2,1.9,0.88,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022",
LNM8,Skyr,Rueil-Malmaison,,Dairy,"December 3, 2021",,"December 6, 2021",Industrial,France,Carrefour,Grocery,Toulouse,France,Cow,Rueil-Malmaison,Yes,Danone,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,18.6,1.52,0.38,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","48.86922181622034, 2.1806112894571856"
LNM9,Water_kefir,Toulouse,,Dairy,"December 6, 2021",,"December 6, 2021",Home,France,Jean_Yves_Bouet,Home,Toulouse,France,NA,NA,NA,Home,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,19.6,1.98,0.96,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","43.58942076510702, 1.4410493132090292"
LNM10,Skyr,Toulouse,,Dairy,"December 7, 2021",,"December 8, 2021",Fromagerie,France,La_Laiterie_Toulousaine,Fromagerie,Toulouse,France,Sheep,Montauban,Yes,Local,80,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,34.5,1.91,0.47,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","43.58942076510702, 1.4410493132090292"
LNM11,Fromage_blanc,Toulouse,,Dairy,"December 7, 2021",,"December 8, 2021",Fromagerie,France,La_Laiterie_Toulousaine,Fromagerie,Toulouse,France,Sheep,Montauban,Yes,Local,80,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,16.5,1.83,0.8,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","43.58942076510702, 1.4410493132090292"
LNM12,Cream,Toulouse,,Dairy,"December 7, 2021",,"December 8, 2021",Fromagerie,France,La_Laiterie_Toulousaine,Fromagerie,Toulouse,France,Sheep,Montauban,No,Local,80,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,5.8,1.57,0.08,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","43.58942076510702, 1.4410493132090292"
LNM13,Milk,Toulouse,,Dairy,"December 7, 2021",,"December 8, 2021",Fromagerie,France,La_Laiterie_Toulousaine,Fromagerie,Toulouse,France,Sheep,Montauban,No,Local,80,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,2.2,0.87,0.01,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","43.58942076510702, 1.4410493132090292"
LNM14,Fresh_Cheese,Toulouse,,Dairy,"December 7, 2021",,"December 8, 2021",Fromagerie,France,La_Laiterie_Toulousaine,Fromagerie,Toulouse,France,Sheep,Montauban,No,Local,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,20.5,1.95,0.36,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","43.58942076510702, 1.4410493132090292"
LNM15,Yogurt,Toulouse,,Dairy,"December 7, 2021",,"December 8, 2021",Fromagerie,France,La_Laiterie_Toulousaine,Fromagerie,Toulouse,France,Sheep,Montauban,Yes,Local,80,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,12,1.55,0.08,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","43.58942076510702, 1.4410493132090292"
LNM16,Yogurt,Toulouse,,Dairy,"December 7, 2021",,"December 8, 2021",Fromagerie,France,La_Laiterie_Toulousaine,Fromagerie,Toulouse,France,Water_Buffalo,Aveyron,Yes,Local,80,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,17.8,1.68,0.1,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","43.58942076510702, 1.4410493132090292"
LNM17,Cheese_rind,Toulouse,Cheese_pair_1,Dairy,"December 7, 2021",,"December 8, 2021",Fromagerie,France,La_Laiterie_Toulousaine,Fromagerie,Toulouse,France,Sheep,Montauban,No,Local,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,86.9,1.86,1.63,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","43.58942076510702, 1.4410493132090292"
LNM18,Cheese_inside,Toulouse,Cheese_pair_1,Dairy,"December 7, 2021",,"December 8, 2021",Fromagerie,France,La_Laiterie_Toulousaine,Fromagerie,Toulouse,France,Sheep,Montauban,No,Local,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,10.9,1.7,0.08,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","43.58942076510702, 1.4410493132090292"
LNM19,Cheese_rind,Toulouse,Cheese_pair_2,Dairy,"December 7, 2021",,"December 8, 2021",Fromagerie,France,La_Laiterie_Toulousaine,Fromagerie,Toulouse,France,Sheep,Montauban,No,Local,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,278.9,1.9,1.41,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","43.58942076510702, 1.4410493132090292"
LNM20,Cheese_inside,Toulouse,Cheese_pair_2,Dairy,"December 7, 2021",,"December 8, 2021",Fromagerie,France,La_Laiterie_Toulousaine,Fromagerie,Toulouse,France,Sheep,Montauban,No,Local,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,14.6,2.07,0.21,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","43.58942076510702, 1.4410493132090292"
LNM21,Cheese_rind,Toulouse,Cheese_pair_3,Dairy,"December 7, 2021",,"December 8, 2021",Fromagerie,France,La_Laiterie_Toulousaine,Fromagerie,Toulouse,France,Sheep,Montauban,No,Local,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,387.5,1.89,1.68,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","43.58942076510702, 1.4410493132090292"
LNM22,Cheese_inside,Toulouse,Cheese_pair_3,Dairy,"December 7, 2021",,"December 8, 2021",Fromagerie,France,La_Laiterie_Toulousaine,Fromagerie,Toulouse,France,Sheep,Montauban,No,Local,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,15.1,1.71,0.11,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","43.58942076510702, 1.4410493132090292"
LNM23,Cheese_rind,Breitenbach,,Dairy,"December 7, 2021",,"December 8, 2021",Farm,France,La_Laiterie_Toulousaine,Fromagerie,Toulouse,France,Sheep,Breitenbach,No,Local,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,148.1,1.85,0.55,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","48.375304227583065, 7.2757575355031845"
LNM24,Cheese_rind,Toulouse,Cheese_pair_4,Dairy,"December 7, 2021",,"December 8, 2021",Fromagerie,France,La_Laiterie_Toulousaine,Fromagerie,Toulouse,France,Water_Buffalo,Aveyron,No,Local,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,288.8,1.9,1.84,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","43.58942076510702, 1.4410493132090292"
LNM25,Cheese_inside,Toulouse,Cheese_pair_4,Dairy,"December 7, 2021",,"December 8, 2021",Fromagerie,France,La_Laiterie_Toulousaine,Fromagerie,Toulouse,France,Water_Buffalo,Aveyron,No,Local,15,"December 10, 2021",Minus_80,Minus_80,169046198,169019137,1,6.1,0.93,0.37,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","43.58942076510702, 1.4410493132090292"
LNM26,Cheese,Aveyron,,Dairy,"December 9, 2021",,"December 14, 2021",Farm,France,Xavier_Fromagerie,Fromagerie,Toulouse,France,Cow,Aveyron,No,Local,15,"December 14, 2021",Minus_80,Minus_80,169046198,169019137,1,5.4,1.33,0.15,"January 10, 2022",Dry_ice,Yes,Switzerland,"January 13, 2022","44.292650976542205, 2.51639218754828"
